Name,When to Meet,Where to Meet,Event name,Topic,Event type,Date,Time Start,Time Finish
Gerfried Stocker,"THU 04.09, 11:00 – 11:10","First Floor, Conference Hall",Archipelago of Possible Futures—From AI Wars to Dual Futures: Reclaiming Democracy in the Face of Authoritarian Tech,Welcome & Opening Remarks,LECTURE & TALK,04.09,11:00,11:10
Veronika Liebl,"SUN 07.09, 10:30 – 12:00","First Floor, JKU Square - LIT Exhibition",POSTCITY,Kepler Salon Extra Extern,EXPERIENCE,07.09,10:30,12:00
Christopher Lindinger,,,,,,,,
Vanessa Hannesschläger,"SUN 07.09, 11:00 – 14:30","First Floor, Conference Hall",Earth Is a Sensorium,Studiotopia Collective Event,LECTURE & TALK,07.09,11:00,14:30
Vanessa Hannesschläger,"THU 04.09, 15:30 – 17:00","First Floor, Town Hall",,Town Hall Meeting: Citizen Science,NETWORKING EVENT,04.09,15:30,17:00
Vanessa Hannesschläger,"SAT 06.09, 16:55 – 17:00","First Floor, Education Stage","New Pathways: AI, Art, and Collaboration in Citizen Science: #AI, Art, Policy",Closing Remarks,LECTURE & TALK,06.09,16:55,17:00
Vanessa Hannesschläger,"FRI 05.09, 15:30 – 17:00","First Floor, Town Hall",,Town Hall Meeting: Theater & Digital Media,NETWORKING EVENT,05.09,15:30,17:00
Tania Singer,"WED 03.09, 12:35 – 13:05","First Floor, Conference Hall","Theme Symposium 2025: Panic in a Global Context: Neuroscience, Culture, and Crisis","No panic! How to develop resilience and train
the social brain",LECTURE & TALK,03.09,12:35,13:05
Marcello Ienca,"WED 03.09, 13:05 – 13:30","First Floor, Conference Hall","Theme Symposium 2025: Panic in a Global Context: Neuroscience, Culture, and Crisis","Too late to panic? Neuroethical implications
of neurotechnologies",LECTURE & TALK,03.09,13:05,13:30
Sarah Ciston,"WED 03.09, 17:30 – 18:00","Ars Electronica Center, Level 0",DEEP SPACE 8K,Inside the AI War Cloud,PERFORMANCE,03.09,17:30,18:00
Sarah Ciston,"THU 04.09, 11:10 – 13:15","First Floor, Conference Hall",Archipelago of Possible Futures—From AI Wars to Dual Futures: Reclaiming Democracy in the Face of Authoritarian Tech,AI War Cloud and the new Architecture of Power,LECTURE & TALK,04.09,11:10,13:15
Carly Whitefield,,,,,,,,
Afroditi Panagiotakou,,,,,,,,
Marleen Stikker,,,,,,,,
Peer Perez Øian,,,,,,,,
Lukas Joshua Baueregger,"SUN 07.09, 10:30 – 11:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,07.09,10:30,11:30
Lukas Joshua Baueregger,"SUN 07.09, 12:00 – 13:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,07.09,12:00,13:00
Lukas Joshua Baueregger,"SUN 07.09, 14:30 – 15:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,07.09,14:30,15:30
Lukas Joshua Baueregger,"THU 04.09, 10:30 – 11:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,04.09,10:30,11:30
Lukas Joshua Baueregger,"THU 04.09, 12:00 – 13:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,04.09,12:00,13:00
Lukas Joshua Baueregger,"THU 04.09, 15:30 – 16:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,04.09,15:30,16:30
Lukas Joshua Baueregger,"THU 04.09, 17:00 – 18:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,04.09,17:00,18:00
Lukas Joshua Baueregger,"FRI 05.09, 10:30 – 11:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,05.09,10:30,11:30
Lukas Joshua Baueregger,"FRI 05.09, 12:00 – 13:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,05.09,12:00,13:00
Lukas Joshua Baueregger,"FRI 05.09, 15:30 – 16:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,05.09,15:30,16:30
Lukas Joshua Baueregger,"FRI 05.09, 17:00 – 18:00","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,05.09,17:00,18:00
Lukas Joshua Baueregger,"SAT 06.09, 10:30 – 11:30","First Floor, WE GUIDE YOU Meeting Point",POSTCITY,Ekklesia,EXPERIENCE,06.09,10:30,11:30
